w_clogit,w_ranger,w_xgb,w_lc,loss
0.6,0.1,0.3,0,1.1560891285902
0.7,0.1,0.2,0,1.15612774623919
0.6,0.2,0.2,0,1.15616234533686
0.7,0.2,0.1,0,1.15632515460508
0.7,0,0.3,0,1.15673262571101
0.6,0,0.4,0,1.15678550496396
0.5,0.2,0.3,0,1.1568744723892
0.5,0.1,0.4,0,1.15693129618135
0.6,0.3,0.1,0,1.15693797431042
0.8,0.1,0.1,0,1.1570804411372
0.7,0.3,0,0,1.15725072481666
0.8,0.2,0,0,1.15739947006129
0.5,0.3,0.2,0,1.15750290780537
0.8,0,0.2,0,1.1576111658067
0.5,0,0.5,0,1.15773603951596
0.6,0.1,0.2,0.1,1.15823426701396
0.6,0,0.3,0.1,1.15827027467698
0.6,0.4,0,0,1.15838061796157
0.7,0,0.2,0.1,1.15843704824559
0.4,0.2,0.4,0,1.15844683615779
0.7,0.1,0.1,0.1,1.15851380822139
0.4,0.1,0.5,0,1.15864263079117
0.5,0.4,0.1,0,1.15878150649961
0.5,0.1,0.3,0.1,1.15883665585769
0.6,0.2,0.1,0.1,1.15891924157959
0.4,0.3,0.3,0,1.15892632041318
0.5,0,0.4,0.1,1.15899342473125
0.9,0.1,0,0,1.15900869844897
0.7,0.2,0,0.1,1.15934102530243
0.5,0.2,0.2,0.1,1.15938094778627
0.9,0,0.1,0,1.15948552701943
0.8,0,0.1,0.1,1.15953262205129
0.4,0,0.6,0,1.15957382545329
0.8,0.1,0,0.1,1.1597163347616
0.4,0.4,0.2,0,1.16004581308733
0.6,0.3,0,0.1,1.16028319677892
0.4,0.1,0.4,0.1,1.16030302380801
0.5,0.3,0.1,0.1,1.16058563708496
0.4,0,0.5,0.1,1.16059091861254
0.5,0.5,0,0,1.16069269163432
0.4,0.2,0.3,0.1,1.16070404527923
0.3,0.2,0.5,0,1.16088364231638
0.6,0,0.2,0.2,1.16114712353195
0.3,0.3,0.4,0,1.16120835953305
0.3,0.1,0.6,0,1.16123086429793
0.7,0,0.1,0.2,1.16156572657863
0.5,0,0.3,0.2,1.16162592238545
0.9,0,0,0.1,1.16162769163749
0.6,0.1,0.1,0.2,1.16171357424908
0.4,0.3,0.2,0.1,1.16175390606957
0.4,0.5,0.1,0,1.16178612260956
0.5,0.1,0.2,0.2,1.16205991964367
0.3,0.4,0.3,0,1.16216887327321
0.7,0.1,0,0.2,1.16226403471927
0.3,0,0.7,0,1.16230944706362
0.5,0.4,0,0.1,1.16242983773824
1,0,0,0,1.16246863237725
0.3,0.1,0.5,0.1,1.16263484894981
0.3,0.2,0.4,0.1,1.16288625199721
0.8,0,0,0.2,1.16293018192508
0.4,0,0.4,0.2,1.16297951675227
0.6,0.2,0,0.2,1.16298009210717
0.3,0,0.6,0.1,1.16306723543617
0.5,0.2,0.1,0.2,1.16317266562828
0.4,0.1,0.3,0.2,1.16327688864595
0.4,0.4,0.1,0.1,1.16343050024514
0.3,0.5,0.2,0,1.16374432834236
0.3,0.3,0.3,0.1,1.16378107316897
0.4,0.6,0,0,1.1641403784747
0.2,0.2,0.6,0,1.16420796820971
0.4,0.2,0.2,0.2,1.16423941507544
0.2,0.3,0.5,0,1.16436770609941
0.2,0.1,0.7,0,1.16472367362759
0.5,0.3,0,0.2,1.16493786718659
0.2,0.4,0.4,0,1.16516490802729
0.3,0,0.5,0.2,1.16520610360319
0.3,0.4,0.2,0.1,1.16529586201075
0.6,0,0.1,0.3,1.16533475595404
0.3,0.1,0.4,0.2,1.16535930628626
0.5,0,0.2,0.3,1.16554905112608
0.4,0.5,0,0.1,1.16572498321308
0.4,0.3,0.1,0.2,1.16584020632386
0.2,0.1,0.6,0.1,1.16585256241945
0.3,0.6,0.1,0,1.16592551320095
0.2,0.2,0.5,0.1,1.16594389116733
0.2,0,0.8,0,1.1659755623281
0.7,0,0,0.3,1.16603995810152
0.3,0.2,0.3,0.2,1.16617068398297
0.2,0,0.7,0.1,1.16644693800536
0.6,0.1,0,0.3,1.16647925940209
0.5,0.1,0.1,0.3,1.16654701406858
0.2,0.5,0.3,0,1.16657667986608
0.4,0,0.3,0.3,1.16665052085948
0.2,0.3,0.4,0.1,1.16667918044664
0.3,0.5,0.1,0.1,1.16741962500956
0.4,0.1,0.2,0.3,1.16750392600616
