Case,Task,knn_Ch1,knn_Ch2,knn_Ch3,knn_Ch4
1,1,0.233333333333333,0.233333333333333,0.3,0.233333333333333
1,2,0.226666666666667,0.226666666666667,0.226666666666667,0.32
1,3,0.186666666666667,0.186666666666667,0.186666666666667,0.44
1,4,0.206666666666667,0.206666666666667,0.206666666666667,0.38
1,5,0.215686274509804,0.215686274509804,0.352941176470588,0.215686274509804
1,6,0.22,0.22,0.22,0.34
1,7,0.173333333333333,0.173333333333333,0.173333333333333,0.48
1,8,0.22,0.22,0.22,0.34
1,9,0.2,0.2,0.2,0.4
1,10,0.206666666666667,0.206666666666667,0.206666666666667,0.38
1,11,0.2,0.2,0.2,0.4
1,12,0.22,0.22,0.22,0.34
1,13,0.206666666666667,0.206666666666667,0.206666666666667,0.38
1,14,0.3,0.233333333333333,0.233333333333333,0.233333333333333
1,15,0.213333333333333,0.213333333333333,0.213333333333333,0.36
1,16,0.226666666666667,0.32,0.226666666666667,0.226666666666667
1,17,0.22,0.22,0.22,0.34
1,18,0.213333333333333,0.213333333333333,0.213333333333333,0.36
1,19,0.226666666666667,0.226666666666667,0.226666666666667,0.32
2,1,0.206666666666667,0.206666666666667,0.206666666666667,0.38
2,2,0.34,0.22,0.22,0.22
2,3,0.233333333333333,0.3,0.233333333333333,0.233333333333333
2,4,0.213333333333333,0.213333333333333,0.213333333333333,0.36
2,5,0.226666666666667,0.32,0.226666666666667,0.226666666666667
2,6,0.193333333333333,0.193333333333333,0.193333333333333,0.42
2,7,0.206666666666667,0.206666666666667,0.206666666666667,0.38
2,8,0.233333333333333,0.233333333333333,0.3,0.233333333333333
2,9,0.213333333333333,0.213333333333333,0.36,0.213333333333333
2,10,0.22,0.22,0.34,0.22
2,11,0.228758169934641,0.228758169934641,0.228758169934641,0.313725490196078
2,12,0.173333333333333,0.173333333333333,0.48,0.173333333333333
2,13,0.2,0.2,0.4,0.2
2,14,0.233333333333333,0.233333333333333,0.233333333333333,0.3
2,15,0.233333333333333,0.233333333333333,0.233333333333333,0.3
2,16,0.246666666666667,0.246666666666667,0.246666666666667,0.26
2,17,0.4,0.2,0.2,0.2
2,18,0.226666666666667,0.226666666666667,0.226666666666667,0.32
2,19,0.22,0.22,0.22,0.34
3,1,0.24,0.24,0.24,0.28
3,2,0.226666666666667,0.226666666666667,0.226666666666667,0.32
3,3,0.22,0.22,0.22,0.34
3,4,0.226666666666667,0.32,0.226666666666667,0.226666666666667
3,5,0.22,0.22,0.22,0.34
3,6,0.226666666666667,0.226666666666667,0.226666666666667,0.32
3,7,0.213333333333333,0.213333333333333,0.213333333333333,0.36
3,8,0.206666666666667,0.38,0.206666666666667,0.206666666666667
3,9,0.206666666666667,0.38,0.206666666666667,0.206666666666667
3,10,0.22,0.22,0.34,0.22
3,11,0.233333333333333,0.233333333333333,0.3,0.233333333333333
3,12,0.226666666666667,0.32,0.226666666666667,0.226666666666667
3,13,0.226666666666667,0.226666666666667,0.226666666666667,0.32
3,14,0.2,0.4,0.2,0.2
3,15,0.215686274509804,0.215686274509804,0.215686274509804,0.352941176470588
3,16,0.36,0.213333333333333,0.213333333333333,0.213333333333333
3,17,0.206666666666667,0.206666666666667,0.38,0.206666666666667
3,18,0.233333333333333,0.233333333333333,0.233333333333333,0.3
3,19,0.2,0.2,0.2,0.4
4,1,0.18,0.18,0.18,0.46
4,2,0.213333333333333,0.36,0.213333333333333,0.213333333333333
4,3,0.213333333333333,0.213333333333333,0.213333333333333,0.36
4,4,0.226666666666667,0.32,0.226666666666667,0.226666666666667
4,5,0.2,0.2,0.4,0.2
4,6,0.226666666666667,0.32,0.226666666666667,0.226666666666667
