Case,Task,lc13_Ch1,lc13_Ch2,lc13_Ch3,lc13_Ch4
4,1,0.142037864483564,0.101261371846281,0.22811833144851,0.528582432221644
4,2,0.462984778844843,0.262788962853135,0.067957585960214,0.206268672341809
4,3,0.0803172978852309,0.144563792848083,0.240561478254413,0.534557431012273
4,4,0.202520061330865,0.19468550601205,0.320312348327835,0.28248208432925
4,5,0.11315809939999,0.17178735793886,0.343442064355743,0.371612478305408
4,6,0.202161899579149,0.129474421570808,0.0919565327090554,0.576407146140987
4,7,0.141935526447279,0.392107163358427,0.176281735052686,0.289675575141608
4,8,0.156212619159729,0.109622622244333,0.356641672183682,0.377523086412255
4,9,0.141675543099224,0.115860942817231,0.167757625072163,0.574705889011382
4,10,0.515724020297903,0.123230325667415,0.113805171327873,0.247240482706809
4,11,0.41899807997853,0.277365501161127,0.124545147404899,0.179091271455444
4,12,0.0648737978452849,0.528182499031332,0.210249962808348,0.196693740315036
4,13,0.0752111557659871,0.251268103425941,0.370634984284629,0.302885756523443
4,14,0.224777095749223,0.380798206771761,0.183850678140676,0.210574019338339
4,15,0.0450043044809955,0.252564007850713,0.478620824124708,0.223810863543584
4,16,0.0943173492031721,0.261294719681688,0.219703224048025,0.424684707067115
4,17,0.209458988541719,0.356838623563862,0.0787472990689251,0.354955088825494
4,18,0.122572607594567,0.146317110158533,0.399685957812967,0.331424324433934
4,19,0.231368796897798,0.10898433156142,0.442916584289879,0.216730287250902
10,1,0.14755243968001,0.260930159316383,0.251353576576321,0.340163824427286
10,2,0.0613771491924792,0.5946780582893,0.122001713033291,0.22194307948493
10,3,0.056811933596903,0.322970407316314,0.261374830924398,0.358842828162385
10,4,0.506863094482256,0.127449676757303,0.151939255282819,0.213747973477622
10,5,0.123896181191698,0.266915822309512,0.184852107176662,0.424335889322128
10,6,0.193612834409969,0.0871993338487711,0.140042304726288,0.579145527014972
10,7,0.233223275309604,0.26680499064496,0.0976722391629206,0.402299494882515
10,8,0.0930399094172574,0.147337418016351,0.159363659329201,0.600259013237192
10,9,0.24496976373406,0.094620180116412,0.138185432826485,0.522224623323042
10,10,0.144299689210132,0.0987034146023293,0.481799241332032,0.275197654855507
10,11,0.0828751084121203,0.234086588259368,0.469347175698553,0.213691127629958
10,12,0.246823567287321,0.54971658234684,0.0410162004828898,0.162443649882949
10,13,0.0638580724587693,0.369474884647597,0.414368720647021,0.152298322246612
10,14,0.169450195360606,0.227418244730479,0.114826064306033,0.488305495602882
10,15,0.34161004438748,0.417516831665796,0.0759465212536318,0.164926602693092
10,16,0.606279184130008,0.122411133589842,0.0805476470943467,0.190762035185803
10,17,0.500122142262086,0.191912357413106,0.0909841737525184,0.21698132657229
10,18,0.338742468182157,0.0825585065151523,0.261939643810193,0.316759381492498
10,19,0.20664725818583,0.321489828441515,0.112459010362433,0.359403903010222
15,1,0.0548039315717814,0.159173794742637,0.538961940636135,0.247060333049447
15,2,0.086028981623928,0.600482366273516,0.112268035353963,0.201220616748594
15,3,0.201199133822945,0.275227186322366,0.353846663973435,0.169727015881255
15,4,0.146006487624626,0.236602451219528,0.0989470503575421,0.518444010798304
15,5,0.188509057523409,0.483584980209427,0.147180712382954,0.180725249884211
15,6,0.359755051504387,0.085188191079313,0.122506484436633,0.432550272979667
15,7,0.217786370790173,0.18045201217538,0.274529715021062,0.327231902013385
15,8,0.100362705076796,0.25533300619232,0.125067121520687,0.519237167210196
15,9,0.121300108473445,0.251379780127131,0.139594101762454,0.48772600963697
15,10,0.060409861791854,0.599028792035984,0.112034851705873,0.228526494466288
15,11,0.106346313926401,0.462444959268645,0.142686177626534,0.28852254917842
15,12,0.178654487559064,0.496801648574292,0.0902833424210284,0.234260521445616
15,13,0.0806024172175708,0.652508857792018,0.0638238157981688,0.203064909192242
15,14,0.260101685092389,0.160042335008114,0.10423733793095,0.475618641968547
15,15,0.362379498154228,0.238842693758722,0.0760810495804026,0.322696758506648
15,16,0.15871356274263,0.109321957290939,0.373502581662997,0.358461898303435
15,17,0.243071962631853,0.187648288308339,0.103008306871376,0.466271442188433
15,18,0.231021791075797,0.0930162253317487,0.338725914469356,0.337236069123098
15,19,0.301154124972464,0.138948940316137,0.11119413266522,0.448702802046179
22,1,0.188000599465691,0.170180474866112,0.13962054875215,0.502198376916047
22,2,0.256958874315288,0.0562226991120693,0.470046993908136,0.216771432664506
22,3,0.148348129853788,0.100186541440289,0.425228711403767,0.326236617302157
22,4,0.0954454622010626,0.489663527700506,0.0903481628512919,0.324542847247139
22,5,0.124789748420306,0.0751968406537559,0.589115131097479,0.21089827982846
22,6,0.0924603710504525,0.282449198189674,0.185511014676688,0.439579416083186
22,7,0.10325528526915,0.280287106965634,0.449695968436573,0.166761639328642
22,8,0.564261030254061,0.150535538941217,0.0440219712769379,0.241181459527784
22,9,0.0420813863650962,0.0964931286744302,0.701806639954808,0.159618845005666
22,10,0.0940129701908985,0.435018771266281,0.114993616766661,0.35597464177616
22,11,0.158440928272108,0.146673554075525,0.117904580120575,0.576980937531792
22,12,0.0656766458052256,0.27695076828609,0.341673177018729,0.315699408889956
22,13,0.0769978253949968,0.39930586805828,0.132586814242486,0.391109492304237
22,14,0.164768002573138,0.0929904961240953,0.211284339262176,0.530957162040591
22,15,0.184583678093572,0.565817424833968,0.0547742215455408,0.194824675526919
22,16,0.386915481891815,0.333636399021629,0.0934283279241917,0.186019791162364
22,17,0.141896392713797,0.109628294282086,0.21184987522113,0.536625437782987
22,18,0.0848908508064668,0.251633810784201,0.303228937796086,0.360246400613247
22,19,0.0499082520716832,0.300123647500422,0.221844060134805,0.428124040293089
23,1,0.460953016475326,0.159159239079217,0.0666582462776678,0.313229498167789
23,2,0.331232836766058,0.0968549398498475,0.335628962746722,0.236283260637372
23,3,0.234837825048053,0.111259555643564,0.166321276318691,0.487581342989691
23,4,0.103678009020553,0.440250213659133,0.106246820093435,0.349824957226879
23,5,0.456841175469915,0.0853497687188371,0.211587244885743,0.246221810925505
23,6,0.644356349765564,0.088329107754921,0.0562922536008006,0.211022288878714
23,7,0.0637612658698672,0.219927065964375,0.256736903130129,0.459574765035629
23,8,0.142386725889901,0.425097814774174,0.094110121938323,0.338405337397602
23,9,0.352222286510318,0.380441111839155,0.13644927054563,0.130887331104896
23,10,0.137943697788321,0.13136685853491,0.332544321321537,0.398145122355232
23,11,0.263103635085152,0.123538322513885,0.153843491484309,0.459514550916654
23,12,0.0901466279659433,0.186210620246837,0.215247701050702,0.508395050736517
23,13,0.107181769845304,0.534451282506929,0.0790481769914602,0.279318770656307
23,14,0.13745317088541,0.119889399264797,0.185057322167446,0.557600107682348
23,15,0.0826511389406788,0.550882631405889,0.160540403607136,0.205925826046297
23,16,0.4435630053273,0.253197687571705,0.092646690631252,0.210592616469743
23,17,0.184499969000217,0.114437554287144,0.187807789586711,0.513254687125928
23,18,0.346733798077332,0.416569239526451,0.0818330560201508,0.154863906376066
23,19,0.163682054222383,0.26791378437216,0.102420308445077,0.465983852960379
34,1,0.413687799823668,0.267276977248224,0.0672861315576948,0.251749091370413
34,2,0.349447649048438,0.441391573390085,0.0644182682621699,0.144742509299307
34,3,0.421797171361009,0.139703441719363,0.234940662756841,0.203558724162787
34,4,0.303342371908572,0.463449966913472,0.0884548870294185,0.144752774148538
34,5,0.0678256688110032,0.127106476337087,0.479958316268413,0.325109538583497
34,6,0.163526504539298,0.2751936977167,0.224947446605663,0.336332351138339
34,7,0.228193275664633,0.459081910142825,0.148395270621205,0.164329543571337
34,8,0.168521760504713,0.422055900756727,0.215265199000328,0.194157139738231
34,9,0.514621323606438,0.123859384729596,0.113841932980722,0.247677358683244
34,10,0.134349374462783,0.136793532733207,0.145351085055751,0.583506007748259
34,11,0.0936089737199101,0.490486113032674,0.0995287145298616,0.316376198717555
34,12,0.432135336167409,0.334410159696835,0.129054444623145,0.104400059512611
34,13,0.0891214139337154,0.537107580605762,0.140278502956684,0.233492502503839
34,14,0.164172169580899,0.333807882893744,0.221205529221428,0.280814418303929
34,15,0.158396024605409,0.441224927904255,0.110861292709436,0.2895177547809
34,16,0.100814154553199,0.44119228316985,0.13132529339735,0.326668268879602
34,17,0.117757344674696,0.206446830475431,0.313454924758453,0.36234090009142
34,18,0.0814389607249707,0.11347008714597,0.250372947016125,0.554718005112934
34,19,0.317302467037247,0.0617753177409455,0.148916462587707,0.4720057526341
39,1,0.134552111767834,0.556911099979937,0.0808555694601016,0.227681218792127
39,2,0.0836479609000156,0.557237168752568,0.0542898975442935,0.304824972803123
39,3,0.255462204015667,0.213324488031535,0.332858523550663,0.198354784402135
39,4,0.382501738092514,0.0813639676129424,0.367545411844816,0.168588882449728
39,5,0.595517883370841,0.0854042116539428,0.0984406275536722,0.220637277421544
39,6,0.250069668976778,0.25454188640095,0.248529108992297,0.246859335629975
39,7,0.217173726708153,0.434846294204355,0.0758023176102664,0.272177661477226
39,8,0.21845205560451,0.147570192725379,0.303370085296902,0.330607666373209
39,9,0.496048256766769,0.0834948947895789,0.130546051220957,0.289910797222695
39,10,0.208680674957627,0.196221538584962,0.397185365877312,0.197912420580099
39,11,0.134322906753942,0.173318526240011,0.243963554289424,0.448395012716623
39,12,0.429694470443587,0.195122197810253,0.210505447982556,0.164677883763605
39,13,0.376501841201426,0.0663686560422203,0.262197422289058,0.294932080467295
39,14,0.147280590717605,0.146655010672599,0.132304146319493,0.573760252290303
39,15,0.0876531796205414,0.207417258670258,0.388962191564727,0.315967370144473
39,16,0.262977061013946,0.192274177205724,0.171824277195144,0.372924484585187
39,17,0.093697378913995,0.446946726415808,0.112193517847178,0.347162376823019
39,18,0.136311559896152,0.280524238631545,0.092711977529768,0.490452223942535
39,19,0.549730201501758,0.0886605583941887,0.20300604959273,0.158603190511323
43,1,0.0842228912735772,0.0540201546933596,0.668074543653442,0.193682410379621
43,2,0.51071367008964,0.102225296309997,0.204426824451558,0.182634209148805
43,3,0.0419659413508902,0.0778759288648951,0.401053214634731,0.479104915149484
43,4,0.134790265287248,0.215312902727336,0.0809706524443497,0.568926179541066
43,5,0.0904291121372549,0.119552582133071,0.421036939733152,0.368981365996522
43,6,0.297038005710356,0.0955298575821148,0.133952622494799,0.47347951421273
43,7,0.451289834163053,0.0540977563787581,0.132336471931029,0.36227593752716
43,8,0.107104406926563,0.434856271341412,0.172151970746751,0.285887350985275
43,9,0.0729481226646024,0.539675335367978,0.114310003275259,0.273066538692161
43,10,0.083905534074285,0.293802924160933,0.176359544495393,0.445931997269389
43,11,0.135409642411115,0.410937398877173,0.130790553613456,0.322862405098256
43,12,0.527816317921521,0.0976738065071403,0.133875710062244,0.240634165509095
43,13,0.355017692590429,0.188633537880549,0.331298921791059,0.125049847737964
43,14,0.15288783509375,0.122229789830335,0.407673517341431,0.317208857734484
43,15,0.449334181093834,0.273541463507397,0.0667606324223692,0.2103637229764
43,16,0.0375646875846528,0.386413852242146,0.291953171887738,0.284068288285464
43,17,0.104964216572746,0.420314126285599,0.314005611733357,0.160716045408298
43,18,0.13876388939457,0.261717348711112,0.0989909560683612,0.500527805825957
43,19,0.124234828546509,0.163719966665374,0.132062371675951,0.579982833112165
50,1,0.101506834833928,0.424098829803061,0.243068678612087,0.231325656750924
50,2,0.153511452006181,0.106276428085693,0.200367196465338,0.539844923442788
50,3,0.208713761159956,0.53725606519271,0.0579685221462807,0.196061651501054
50,4,0.152549954146833,0.075688002777256,0.327815185855717,0.443946857220194
50,5,0.429165521317277,0.112575196718094,0.110907946180157,0.347351335784471
50,6,0.111573278994791,0.193096707091907,0.308113411230737,0.387216602682566
50,7,0.200663152928132,0.0992356285447447,0.19514313947777,0.504958079049354
50,8,0.396940185705054,0.280820843805467,0.0824802354207245,0.239758735068754
50,9,0.502879884989148,0.227131600084928,0.0711924447963443,0.198796070129579
50,10,0.115433004766009,0.138344503400602,0.446782820108537,0.299439671724852
50,11,0.204679450681856,0.154035852221507,0.114686953562181,0.526597743534456
50,12,0.0768971930849829,0.505545528479864,0.0823974364010686,0.335159842034085
50,13,0.133718770089545,0.291453063845523,0.193010726402285,0.381817439662646
50,14,0.183124189913392,0.125267647738064,0.172545630207535,0.519062532141009
50,15,0.174700470661259,0.10852199068799,0.178026660301503,0.538750878349249
